run_id,episode_id,episode_index,model_name,move_idx,command,observation,score,moves,inventory,done,seed,timestamp,tokens_prompt,tokens_completion
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,0,look,"look


West of House
You are standing in an open field west of a white house, with a boarded front
door.
There is a small mailbox here.

",,,,False,,2025-12-04T00:23:26.796534,659,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,1,open window,"open window


You can't see any window here!

",,,,False,,2025-12-04T00:23:28.699796,695,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,2,examine house,"examine house


The house is a beautiful colonial house which is painted white. It is clear that
the owners must have been extremely wealthy.

",,,,False,,2025-12-04T00:23:30.667171,714,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,3,examine mailbox,"examine mailbox


The small mailbox is closed.

",,,,False,,2025-12-04T00:23:32.581696,751,3
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,4,open mailbox,"open mailbox


Opening the small mailbox reveals a leaflet.

",,,,False,,2025-12-04T00:23:34.723447,769,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,5,get leaflet,"get leaflet


Taken.

",,,,False,,2025-12-04T00:23:36.705032,789,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,6,read leaflet,"read leaflet


""WELCOME TO ZORK!

ZORK is a game of adventure, danger, and low cunning. In it you will explore
some of the most amazing territory ever seen by mortals. No computer should be
without one!""

",,,,False,,2025-12-04T00:23:38.585449,762,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,7,open window,"open window


You can't see any window here!

",,,,False,,2025-12-04T00:23:40.474012,803,2
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,8,look,"look


West of House
You are standing in an open field west of a white house, with a boarded front
door.
There is a small mailbox here.

",,,,False,,2025-12-04T00:23:42.392211,785,1
84c26c3e-5f44-40ea-8072-07a470b984e7,b5282a04-7433-46a1-888d-c188c1e24ff7,0,gpt-4.1-mini,9,east,"east


The door is boarded and you can't remove the boards.

",,,,False,,2025-12-04T00:23:44.343315,808,1
